"x","y","z"
333737,4752478,-4154
334217,4752413,-4602
335125,4752029,-2011
335382,4752259,-3361
332647,4751342,-5221
332613,4763994,-315
334876,4752068,166
334032,4751996,-4531
334181,4751446,-3866
334007,4751020,-4042
330029,4759846,-5949
331243,4765307,-1759
335139,4752742,-3331
327023,4761439,-2590
333725,4753974,-3787
333726,4753085,-3880
327734,4765368,-1274
334549,4750906,-4889
335261,4753087,-2797
334491,4751801,-4846
333069,4750675,-4448
325222,4759727,-5434
332503,4766070,-1283
332449,4751216,-3741
335426,4751014,-5519
333680,4752184,-4881
334671,4751700,-4125
323541,4773862,-3474
330123,4752348,-3664
333587,4753738,-3583
334030,4753029,-3673
333450,4750954,-4700
333610,4752986,-3431
335753,4752286,-3800
334557,4752510,-4365
333497,4751985,-5097
333299,4752320,-4724
333918,4752077,-5114
330210,4758697,-4486
333471,4753342,-3878
334831,4751609,-5346
331038,4762433,-5110
334831,4751587,-5478
333146,4752590,-2525
333369,4750880,-4912
330225,4758660,-4569
331650,4759687,-1149
331137,4762146,-8
333621,4751843,-4833
333709,4752552,-4619
333549,4752105,-5354
330983,4754818,-5428
333726,4752413,-4733
333094,4751151,-4505
335769,4751003,-4963
335649,4751034,-5299
329872,4761520,-1587
331355,4758833,-1377
334777,4751669,-5223
335283,4751932,-4810
331783,4758054,-787
334304,4751647,-5049
332095,4751241,-4179
331984,4752229,-5885
331080,4751391,-2877
327255,4762824,-1373
330159,4758457,-4241
330521,4757979,-2116
334458,4752368,-5116
334666,4752164,-4976
334142,4751507,-5369
333044,4755454,-2818
334789,4751436,-5364
335113,4752369,-4250
334317,4751502,-5774
322839,4771032,-1658
330243,4763944,-2188
333882,4752428,-4958
324067,4772602,-1516
335032,4752230,-4394
335070,4752020,-4375
332619,4766431,-634
332753,4766473,-481
324262,4772854,-1802
332087,4755481,-3828
322836,4771049,-1639
331555,4764117,-662
335443,4753139,-3138
322245,4766873,-6943
333509,4751325,-5470
335474,4753094,-3174
334352,4752535,-3429
330743,4759030,-2631
321225,4772169,-3143
336157,4752705,-2818
332257,4764069,-116
333270,4750977,-5272
326709,4759563,-3498
326457,4759622,-4443
326494,4759806,-4135
326563,4759747,-4221
329686,4757326,-2863
320893,4763030,-6683
336227,4750409,-5093
331637,4766445,-1315
324250,4773061,-1528
336352,4750380,-5276
336350,4751676,-4396
320495,4771355,-3775
330244,4761961,-1729
326197,4760101,-4522
336268,4751693,-4285
328035,4767109,-968
324172,4773320,-3377
333944,4751651,-5368
330899,4763256,-4457
326706,4759823,-4442
336154,4749132,-1194
330719,4762414,-4762
334261,4753201,-3684
336154,4752555,-3309
336509,4751370,-3414
326461,4759972,-4494
331049,4755041,-5070
332036,4756596,-1879
336871,4750648,-3902
334469,4754716,-2693
319979,4775084,-5295
334282,4752707,-3614
330561,4757130,-1912
331127,4756907,-1632
336063,4751431,-4267
334879,4751103,-1528
337518,4750445,-3267
330320,4758405,-2374
328544,4754856,-6464
329543,4757808,-2758
336462,4750266,-5219
337409,4750071,-5107
328983,4757432,-1781
321859,4772033,-7256
333236,4753969,-4392
336438,4751720,-3523
329622,4757913,-1786
332412,4754859,-3731
336898,4751541,-4179
329874,4758157,-1643
336587,4751762,-3666
334511,4753279,-3774
335269,4752097,-4573
337135,4749398,-4165
333345,4755158,-1970
336535,4752640,-3315
337239,4749582,-3393
334974,4752009,-4558
330466,4759820,-1988
336637,4750475,-4980
334338,4751832,-4952
337401,4750606,-4822
337303,4750453,-4268
330247,4756183,-3676
333711,4751698,-5383
325644,4765685,-3576
330374,4756219,-4084
327084,4761003,-3236
328393,4752876,-2716
336549,4750422,-3708
329600,4758039,-2530
333346,4752237,-3890
338028,4750386,-3318
336495,4750612,-5152
334937,4752379,-4131
330882,4754647,-5689
334152,4751536,-4880
327567,4761953,-969
331343,4757677,-1529
318601,4765034,-7198
330115,4756854,-2603
330553,4756740,-3055
334186,4750701,-4960
336894,4750890,-4135
337441,4750086,-4566
334411,4751842,-4737
329232,4755316,-5215
333966,4749344,-3738
334320,4749535,-4094
326527,4759828,-4190
335840,4749048,-1632
322639,4771925,-5027
